company_id,beta_proxy
JIOFIN,28.398331658467317
VEDL,6.635459997513784
ICICIPRULI,0.9366101186468472
BAJAJHLDNG,0.6934191103281809
ZOMATO,0.6259812879500192
ADANIGREEN,0.5939236030989469
IRCTC,0.5510291453760784
HDFCLIFE,0.4840931896784407
TECHM,0.47816389963878675
ONGC,0.4222473303954994
LODHA,0.4067714978381493
INDIGO,0.397474930118457
ADANIPOWER,0.3724148144935067
ADANIENT,0.36670217497139973
TRENT,0.34178799199687865
AMBUJACEM,0.3404926517240209
SBILIFE,0.3214841037230225
BAJAJFINSV,0.3041626556157077
ATGL,0.30314540023856984
LTIM,0.29134369490550643
GAIL,0.2772832892446645
JSWSTEEL,0.27497868284708943
IOC,0.26040604039733367
RELIANCE,0.24212747721196268
JINDALSTEL,0.23911391149005337
UNIONBANK,0.23574667973502794
BPCL,0.22140188810599937
SUNPHARMA,0.22131258442778534
TATASTEEL,0.21048893433350085
PFC,0.1997889859877246
ICICIGI,0.19919164612535198
EICHERMOT,0.1847111800029594
GRASIM,0.1777006533695324
DLF,0.17522755474706952
SHREECEM,0.17123545895748313
NAUKRI,0.16825730203573402
BOSCHLTD,0.16808798385844725
BHEL,0.16687582907770196
HAVELLS,0.16343147063234362
VBL,0.163236683051495
SIEMENS,0.16180369839822836
BANKBARODA,0.15902926390565025
HCLTECH,0.15883612980082099
HDFCBANK,0.15553288051110886
TORNTPHARM,0.1554193608658538
PNB,0.1507489693747776
M&M,0.15065402341159492
HINDALCO,0.1497243981560209
KOTAKBANK,0.14738094669366053
SHRIRAMFIN,0.1462400135781596
DIVISLAB,0.13771543433242092
CANBK,0.13730078884946723
BAJFINANCE,0.1369762101515295
TATAPOWER,0.13555849080505433
TITAN,0.1351479847725768
MARUTI,0.13403331420573136
ADANIPORTS,0.1336845836614675
JSWENERGY,0.13298934632954387
NESTLEIND,0.12962212904369588
DMART,0.1280549066598851
TATAMOTORS,0.1234437274817192
TATACONSUM,0.11795226606846072
TVSMOTOR,0.11631075238815435
CHOLAFIN,0.11557614296355202
MOTHERSON,0.11252929791045323
ULTRACEMCO,0.10447427841539586
NTPC,0.10344325945037475
APOLLOHOSP,0.10094998816467939
COALINDIA,0.10094148291884353
BAJAJ-AUTO,0.10028076295801235
PIDILITIND,0.09843001996100184
RECLTD,0.09838786531333861
NHPC,0.09831973395206735
ASIANPAINT,0.0940964262532381
UNITDSPR,0.09409367107929835
BHARTIARTL,0.09348688690565465
ICICIBANK,0.09225025934552517
ABB,0.09211112183662538
INDUSINDBK,0.09015574385531515
WIPRO,0.08651770020449437
AXISBANK,0.08501432491402885
HEROMOTOCO,0.08376741859369405
IRFC,0.08026503929234935
POWERGRID,0.07835269685903361
TCS,0.07803492764388856
ZYDUSLIFE,0.07603748153013433
SBIN,0.07457951577082451
INFY,0.07381817405446538
ITC,0.07376552588538571
DRREDDY,0.06988913910548802
LT,0.06773138635043302
CIPLA,0.06531277357044879
HINDUNILVR,0.058973175474220985
GODREJCP,0.05881199509529609
DABUR,0.058183821612975355
BEL,0.056584196695717036
BRITANNIA,0.0419911689111352
HAL,0.027994393440135837
LICI,0.021254707139684408
ADANIENSOL,
