company_id,max_drawdown_pct
IRCTC,-65.68
BHEL,-64.61
INDIGO,-59.05
LODHA,-56.21
BAJAJHLDNG,-50.12
ICICIPRULI,-49.29
ADANIENT,-47.25
DLF,-45.46
RELIANCE,-37.12
HDFCLIFE,-33.34
TATASTEEL,-31.39
IOC,-31.09
JSWENERGY,-29.54
EICHERMOT,-29.35
M&M,-29.07
BPCL,-28.97
ONGC,-28.76
TRENT,-27.73
HAVELLS,-27.61
JINDALSTEL,-26.37
BAJAJFINSV,-25.23
TATAPOWER,-24.87
GAIL,-24.7
SIEMENS,-23.98
ZOMATO,-23.45
UNITDSPR,-22.62
JSWSTEEL,-21.57
ADANIPOWER,-19.99
BOSCHLTD,-19.73
NESTLEIND,-18.89
MARUTI,-18.24
SBILIFE,-17.42
TATAMOTORS,-17.27
TATACONSUM,-16.96
BHARTIARTL,-16.32
SUNPHARMA,-16.12
AMBUJACEM,-15.63
HCLTECH,-15.16
NAUKRI,-14.02
HEROMOTOCO,-13.89
DIVISLAB,-13.31
ADANIENSOL,-13.05
TORNTPHARM,-13.03
VEDL,-12.82
SHREECEM,-11.9
GRASIM,-11.59
NHPC,-10.07
MOTHERSON,-9.69
COALINDIA,-9.6
ATGL,-9.55
VBL,-9.54
HINDALCO,-9.5
DRREDDY,-8.81
BAJAJ-AUTO,-8.62
NTPC,-8.21
ICICIGI,-8.09
BANKBARODA,-6.98
PNB,-6.95
RECLTD,-6.9
LT,-6.51
TVSMOTOR,-6.5
CANBK,-6.12
APOLLOHOSP,-6.11
TITAN,-5.35
GODREJCP,-3.91
ADANIPORTS,-3.51
DMART,-2.92
TECHM,-2.43
DABUR,-2.32
KOTAKBANK,-1.95
WIPRO,-1.87
ASIANPAINT,-1.87
UNIONBANK,-1.56
PFC,-1.0
SBIN,-0.64
ZYDUSLIFE,-0.54
ITC,-0.27
POWERGRID,-0.07
PIDILITIND,-0.01
LICI,0.0
BAJFINANCE,0.0
AXISBANK,0.0
IRFC,0.0
JIOFIN,0.0
ICICIBANK,0.0
HINDUNILVR,0.0
INDUSINDBK,0.0
INFY,0.0
HDFCBANK,0.0
HAL,0.0
ADANIGREEN,0.0
ABB,0.0
CHOLAFIN,0.0
BRITANNIA,0.0
BEL,0.0
CIPLA,0.0
LTIM,0.0
ULTRACEMCO,0.0
SHRIRAMFIN,0.0
TCS,0.0
