company_id,mean_return,volatility,sharpe_ratio
HDFCBANK,21.798053449630757,7.399249550456191,2.9459816567866435
KOTAKBANK,21.4373837837459,7.804234455564862,2.7468913069955025
ABB,20.45246594946178,11.877479950500998,1.7219533128825937
INFY,9.525881508410109,5.567813704627269,1.7108836634554403
CHOLAFIN,24.28478236403303,14.398299387472466,1.6866424089752226
SBILIFE,12.052959866842803,7.383554247386537,1.6324062183343524
BAJAJFINSV,18.831057802159417,12.634047939099531,1.4905007399791113
BAJFINANCE,35.25262976509954,25.111601833939325,1.403838353213064
HINDUNILVR,9.17888944286638,7.030503447606121,1.3055806758748951
DMART,35.12615317957641,27.375717626934446,1.2831135116990124
BEL,14.9635246999042,12.540905373626815,1.1931773866480238
RELIANCE,12.37568961744852,11.737158083461573,1.0544025674227462
ICICIGI,19.261380111583055,18.84925030685133,1.0218645197035727
TCS,11.451153246476812,11.279327246515123,1.015233709972798
BAJAJHLDNG,12.931618453543324,12.954337372944238,0.9982462306834494
POWERGRID,12.025996180502815,12.807594858939407,0.9389738130347671
DABUR,7.45877702489388,8.157129416435508,0.9143874816875478
PIDILITIND,14.667975220668774,16.729092726834406,0.8767944239522635
ASIANPAINT,13.214125182771005,15.295961702851072,0.863896330252185
TVSMOTOR,24.590211592911647,28.908623375615967,0.8506185601924289
ITC,9.165731565335067,10.901915414464778,0.8407450633100562
BRITANNIA,21.825545586932858,27.045681843433915,0.8069881807114289
IRFC,26.59878611517684,33.236658263825106,0.8002846105658898
ATGL,25.35605443949256,31.806821206963196,0.797189202734336
INDUSINDBK,21.918615440379266,28.120075667321156,0.7794650234832505
HDFCLIFE,13.035854902377032,17.141511191635047,0.7604845778555657
EICHERMOT,24.02496899290695,33.10462455677742,0.725728483997816
JIOFIN,2538.7719827153046,3590.189543739736,0.7071414898252927
LTIM,23.09184615042607,35.21065023566895,0.6558199293642598
HCLTECH,14.754792873179637,22.90021017557604,0.6443081858225125
LT,11.069881822793024,17.66236219300245,0.6267497915527254
WIPRO,6.503982632848611,10.553516026629993,0.6162858535901138
RECLTD,14.282141647727927,23.88621176612762,0.5979240989557432
MOTHERSON,27.83431281137722,48.0973086316271,0.5787083228410488
BAJAJ-AUTO,8.275042222689086,14.71538938480503,0.5623393310430381
ADANIPORTS,8.314870240640005,15.273981856309174,0.5443813092658224
ZYDUSLIFE,27.769239515693272,51.996504469664075,0.5340597372635784
MARUTI,21.00327548692583,39.886126398104736,0.5265809789923305
ICICIBANK,20.286916044822068,38.9608096045256,0.5207005770862007
IRCTC,42.804963997914726,82.31431302798818,0.5200184806664225
SHRIRAMFIN,22.56917538638505,43.85979509335795,0.5145754862362065
CIPLA,12.6921404225234,24.76252476306244,0.51255437577415
HAL,11.315891216087081,23.346149414530085,0.4847005394835836
DIVISLAB,13.422903008436819,29.028728078363834,0.4624006595191264
NESTLEIND,14.074603019766966,30.903266708274,0.4554406222691872
TITAN,19.11827244684646,42.2681989209378,0.45230866076425397
LICI,139.8786597095297,310.2869953706636,0.45080413229189004
HEROMOTOCO,7.780592606689399,18.044189648182073,0.4311965656752717
TORNTPHARM,26.02332967609101,61.13868890719385,0.42564422203415925
ADANIENT,33.20811356670587,78.85636653325322,0.4211215279961222
AMBUJACEM,15.010893746385504,35.878511276898784,0.41838117614569525
SUNPHARMA,22.251424319501613,53.36159421021779,0.4169932448390169
SIEMENS,24.688549155458915,60.321265556045574,0.40928433659138563
DRREDDY,18.21931459369514,45.56906801948707,0.399817582091077
PFC,34.50266669300412,87.7017032255787,0.3934093116100535
ZOMATO,128.04539234322144,329.05568906981205,0.3891298542966552
GAIL,20.233383788351983,52.26347521462281,0.38714195153044245
NTPC,6.022356305260085,15.707373825093724,0.3834094974959412
BPCL,126.1818052564983,346.9528745856649,0.36368571785775244
TECHM,16.685840816527357,46.200847878356115,0.36115875752886856
AXISBANK,164.46449482650138,463.5335616168007,0.35480601286528374
APOLLOHOSP,74.13957089180302,216.6743169185944,0.3421705532347778
LODHA,229.62540481859207,694.1903873083456,0.33078159683101027
UNITDSPR,392.66128134260777,1205.2900280123906,0.3257815730792482
ONGC,21.62678790143607,66.49887523883321,0.32522035634080504
JSWENERGY,66.18654584775078,208.55513363473807,0.31735754807009164
BOSCHLTD,17.4912689689199,55.37342204306554,0.31587841826565144
SBIN,344.197959829103,1090.8437667772323,0.3155336908107334
TATAPOWER,330.7332899017742,1065.3202514618574,0.3104543346922526
ULTRACEMCO,13.330168259607886,44.9401089672633,0.2966207373755651
HAVELLS,21.665644323088397,73.5547265861407,0.2945513541908899
GRASIM,13.925889532607194,47.541393101539015,0.29292136018951415
SHREECEM,17.69058457107071,63.12857024364969,0.2802310348989769
COALINDIA,14.302349616230915,52.83424135607271,0.2707022803609731
ADANIGREEN,41.832468770604905,195.50658052530207,0.21396962014376303
NHPC,5.365222558093989,30.60226286890749,0.17532110553645242
TATAMOTORS,41.329508492848326,349.92362057029226,0.11811008478219064
DLF,21.244029198618176,193.0272472001656,0.11005715258731592
TATASTEEL,20.55873857331612,366.88551723969766,0.056035841174631215
TRENT,12.058754233018604,407.66315292253194,0.029580191750393798
INDIGO,-46.18582605385689,1085.569604236039,-0.04254524617641612
M&M,-12.030754956646247,212.0988297070475,-0.05672240140722707
GODREJCP,-3.9483466222124393,48.441757074869265,-0.08150708935082729
BANKBARODA,-15.284839030607964,164.99710350374056,-0.09263701426286826
JSWSTEEL,-32.10781744123994,279.4731816294285,-0.11488693567676116
VBL,-28.19552213910991,244.29277657686615,-0.11541692936728425
VEDL,-33.15143883413844,198.59265115205898,-0.1669318509110136
HINDALCO,-32.37346285165189,192.55321266643693,-0.1681273576449382
PNB,-70.95626107160284,358.5338526259535,-0.1979067263855532
IOC,-78.73006646901855,386.69159638401845,-0.20359911413961201
ADANIPOWER,-81.5399005813794,385.3470917967698,-0.21160118323763852
ICICIPRULI,-2.8196610512414435,12.397857964567564,-0.22743130783558652
TATACONSUM,-111.69945650712862,386.83333572974476,-0.28875344028045646
BHARTIARTL,-169.7632402181113,554.0985888754639,-0.3063773191746322
UNIONBANK,-92.51263248527196,297.6758637625315,-0.310783115956869
JINDALSTEL,-108.56520023060686,341.63220200755285,-0.31778386110161444
BHEL,-43.79632820774634,112.24755834596306,-0.3901762216756625
NAUKRI,-294.8407449070976,566.0699518473515,-0.5208556715382862
CANBK,-102.48353545043848,168.77942014086864,-0.607203978807976
