company_id,sales_volatility,sharpe_ratio,beta_proxy,max_drawdown_pct,risk_score
BAJAJHLDNG,477.3301684825607,0.9982462306834494,0.6934191103281809,-50.12,218.83820336890443
NAUKRI,748.6602306959019,-0.5208556715382862,0.16825730203573402,-14.02,307.55609399061376
UNITDSPR,1134.953557165701,0.3257815730792482,0.09409367107929835,-22.62,462.32351471478717
NHPC,1175.4312956397034,0.17532110553645242,0.09831973395206735,-10.07,474.9845918293863
IRCTC,1280.6080019059127,0.5200184806664225,0.5510291453760784,-65.68,542.4477651892201
JSWENERGY,1338.7564264012963,0.31735754807009164,0.13298934632954387,-29.54,546.7069999390393
DLF,1333.621625884059,0.11005715258731592,0.17522755474706952,-45.46,550.4811442959777
ABB,1443.650891814187,1.7219533128825937,0.09211112183662538,0.0,577.5806258495247
ATGL,1444.853520751696,0.797189202734336,0.30314540023856984,-9.55,586.0721271027155
DABUR,2090.336183242868,0.9143874816875478,0.058183821612975355,-2.32,837.0797622477194
DIVISLAB,2380.3098887889923,0.4624006595191264,0.13771543433242092,-13.31,958.4088635427263
GODREJCP,2485.994641783115,-0.08150708935082729,0.05881199509529609,-3.91,996.8286037045028
TORNTPHARM,2478.0188944044876,0.42564422203415925,0.1554193608658538,-13.03,997.799300757078
JIOFIN,1079.1044126187853,0.7071414898252927,28.398331658467317,0.0,998.9012567270353
BOSCHLTD,2834.6834784640287,0.31587841826565144,0.16808798385844725,-19.73,1142.838272644515
PIDILITIND,3158.2312601055182,0.8767944239522635,0.09843001996100184,-0.01,1264.387310017475
TATACONSUM,3478.0538656420617,-0.28875344028045646,0.11795226606846072,-16.96,1398.9573450184744
LODHA,3471.5057344187935,0.33078159683101027,0.4067714978381493,-56.21,1413.2699421274494
ADANIGREEN,3693.5936092104125,0.21396962014376303,0.5939236030989469,0.0,1489.1019461260003
EICHERMOT,3702.8873280323514,0.725728483997816,0.1847111800029594,-29.35,1492.9284263290021
