company_id,value_at_risk
ICICIPRULI,-43.9
IRCTC,-37.72
ADANIENT,-34.68
HDFCLIFE,-28.42
BAJAJHLDNG,-28.22
LODHA,-27.45
TRENT,-25.87
BHEL,-24.72
RELIANCE,-24.25
IOC,-23.8
ONGC,-23.14
DLF,-22.41
BPCL,-20.68
INDIGO,-20.53
BOSCHLTD,-19.09
TATASTEEL,-18.34
NESTLEIND,-17.88
SIEMENS,-17.33
GAIL,-17.12
JSWSTEEL,-17.12
EICHERMOT,-16.82
JSWENERGY,-16.09
M&M,-14.5
HAVELLS,-14.35
JINDALSTEL,-13.51
UNITDSPR,-12.33
AMBUJACEM,-11.93
ADANIPOWER,-10.52
VEDL,-10.31
NHPC,-9.59
SBILIFE,-9.39
MARUTI,-9.29
HEROMOTOCO,-9.22
TATAPOWER,-9.05
TATAMOTORS,-8.47
DIVISLAB,-8.33
TATACONSUM,-7.35
BHARTIARTL,-7.28
SHREECEM,-7.28
HINDALCO,-7.19
SUNPHARMA,-6.15
PNB,-6.1
ATGL,-6.02
TORNTPHARM,-5.4
BAJAJ-AUTO,-5.27
ICICIGI,-5.13
NAUKRI,-5.11
BAJAJFINSV,-5.04
MOTHERSON,-4.91
COALINDIA,-4.77
GRASIM,-4.38
BANKBARODA,-4.21
HCLTECH,-4.12
DRREDDY,-3.64
NTPC,-2.98
RECLTD,-2.81
CANBK,-2.79
VBL,-2.25
ZOMATO,-1.91
GODREJCP,-1.54
WIPRO,-1.37
TVSMOTOR,-1.26
DABUR,-1.07
TITAN,-0.86
TECHM,-0.58
UNIONBANK,-0.48
ITC,-0.16
ADANIPORTS,0.0
ADANIENSOL,0.18
POWERGRID,0.26
ZYDUSLIFE,0.34
PFC,0.57
KOTAKBANK,0.66
ULTRACEMCO,0.74
ASIANPAINT,0.76
HINDUNILVR,0.96
LT,1.23
APOLLOHOSP,1.32
SBIN,1.4
PIDILITIND,1.67
IRFC,1.77
AXISBANK,2.04
ABB,2.3
ICICIBANK,2.43
BRITANNIA,2.85
HAL,2.89
LTIM,3.03
INFY,3.6
INDUSINDBK,3.79
BEL,3.8
CIPLA,4.47
TCS,4.49
LICI,5.03
SHRIRAMFIN,5.23
HDFCBANK,5.5
DMART,5.64
BAJFINANCE,6.61
CHOLAFIN,8.15
ADANIGREEN,17.51
JIOFIN,206.9
